70555689	javascript|python|django	How to convert javascript object to python readable	"<p>I'm trying to parse below object from javascript post data into python using ast.literal_eval(obj) but ending up into below error</p> <p>Error:</p> <pre><code>malformed node or string: &lt;_ast.Name object at 0x7fb484eb8070&gt; </code></pre> <p>Object Value:</p> <pre><code>'[{&quot;dose&quot;:&quot;1&quot;,&quot;duration&quot;:&quot;2&quot;,&quot;name&quot;:&quot;Item1&quot;,&quot;code&quot;:&quot;pharma2&quot;,&quot;usage&quot;:{&quot;morning&quot;:true,&quot;afternoon&quot;:false,&quot;evening&quot;:false,&quot;night&quot;:false,&quot;sos&quot;:false}},{&quot;dose&quot;:&quot;1&quot;,&quot;duration&quot;:&quot;4&quot;,&quot;name&quot;:&quot;Item2&quot;,&quot;code&quot;:&quot;pharma1&quot;,&quot;usage&quot;:{&quot;morning&quot;:false,&quot;afternoon&quot;:false,&quot;evening&quot;:false,&quot;night&quot;:true,&quot;sos&quot;:false}}]' </code></pre>"	2022-01-02 11:49:13.033 UTC	70555749	"<p><a href=""https://github.com/dmeranda/demjson"" rel=""nofollow noreferrer"">demjson.decode()</a></p> <pre><code>import demjson  jsObject = '{&quot;dose&quot;:&quot;1&quot;,&quot;duration&quot;:&quot;2&quot;,&quot;name&quot;:&quot;Item1&quot;,&quot;code&quot;:&quot;pharma2&quot;,&quot;usage&quot;:{&quot;morning&quot;:true,&quot;afternoon&quot;:false,&quot;evening&quot;:false,&quot;night&quot;:false,&quot;sos&quot;:false}},{&quot;dose&quot;:&quot;1&quot;,&quot;duration&quot;:&quot;4&quot;,&quot;name&quot;:&quot;Item2&quot;,&quot;code&quot;:&quot;pharma1&quot;,&quot;usage&quot;:{&quot;morning&quot;:false,&quot;afternoon&quot;:false,&quot;evening&quot;:false,&quot;night&quot;:true,&quot;sos&quot;:false}}'  pythonObject = demjson.decode(jsObject) </code></pre>"			2022-01-02 11:57:23.26 UTC
70572234	javascript|python	Equivalent to JavaScript mapping for python?	"<p>Could someone help me find a way to do the function below in python?</p> <p>I do think I could use a for loop with indexes and do it that way but there might be an easier method with pythons list comprehension</p> <p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false""> <div class=""snippet-code""> <pre class=""snippet-code-js lang-js prettyprint-override""><code>let rows = [['10kg', '12.5', '1.25', '8'],    ['25kg', '28.75', '1.15', '6'],    ['50kg', '50', '1.0', '5'],    ['100kg', '100', '1.0', '3'],    ['250kg', '250', '1.0', '5'],    ['500kg', '500', '1.0', '5'],    ['1liter', '1000', '1.0', '5']];  let labels = [""Weight"",""Price"",""Price Per"",""Amount""];  let values = rows.map((row, idx) =&gt; {   let d = {id: idx};   row.forEach((c, i) =&gt; d[labels[i]] = c);   return d; });  console.log(values)  let columns = labels.map(l =&gt; ({field: l, width: 150}));  console.log(columns);</code></pre> </div> </div> </p>"	2022-01-03 22:44:36.7 UTC	70572400	"<p>maybe this is the best i can do for you</p> <pre class=""lang-py prettyprint-override""><code>rows = [['10kg', '12.5', '1.25', '8'],    ['25kg', '28.75', '1.15', '6'],    ['50kg', '50', '1.0', '5'],    ['100kg', '100', '1.0', '3'],    ['250kg', '250', '1.0', '5'],    ['500kg', '500', '1.0', '5'],    ['1liter', '1000', '1.0', '5']]  labels = [&quot;Weight&quot;,&quot;Price&quot;,&quot;Price Per&quot;,&quot;Amount&quot;]  values = [] for y,i in enumerate(rows):     a = {}     a[&quot;id&quot;] = y     for index,x in enumerate(i):         a[labels[index]] = x     values.append(a)      print(values)  columns = [{&quot;fields&quot;: i, &quot;width&quot;:150} for i in labels] print(columns) </code></pre>"			2022-01-03 23:07:04.42 UTC
70572234	javascript|python	Equivalent to JavaScript mapping for python?	"<p>Could someone help me find a way to do the function below in python?</p> <p>I do think I could use a for loop with indexes and do it that way but there might be an easier method with pythons list comprehension</p> <p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false""> <div class=""snippet-code""> <pre class=""snippet-code-js lang-js prettyprint-override""><code>let rows = [['10kg', '12.5', '1.25', '8'],    ['25kg', '28.75', '1.15', '6'],    ['50kg', '50', '1.0', '5'],    ['100kg', '100', '1.0', '3'],    ['250kg', '250', '1.0', '5'],    ['500kg', '500', '1.0', '5'],    ['1liter', '1000', '1.0', '5']];  let labels = [""Weight"",""Price"",""Price Per"",""Amount""];  let values = rows.map((row, idx) =&gt; {   let d = {id: idx};   row.forEach((c, i) =&gt; d[labels[i]] = c);   return d; });  console.log(values)  let columns = labels.map(l =&gt; ({field: l, width: 150}));  console.log(columns);</code></pre> </div> </div> </p>"	2022-01-03 22:44:36.7 UTC	70572278	"<p>In Python, you can create a dict from the corresponding elements of two lists with <code>dict(zip(keys, values))</code>.</p> <pre><code>values = [dict(zip(labels, row), id=idx) for idx, row in enumerate(rows)] columns = [{'field': l, 'width': 150} for l in labels] </code></pre>"			2022-01-03 22:50:37.043 UTC
70594280	solana|pynacl|solana-web3js|solana-program-library	How to verify with Python (PyNaCl) a message signed by Solana wallet adapter (javascript)	"<p>I have signed a message using <a href=""https://github.com/solana-labs/wallet-adapter/blob/master/FAQ.md#how-can-i-sign-and-verify-messages"" rel=""nofollow noreferrer"">Solana's wallet adapter example</a>:</p> <pre><code>import { useWallet } from '@solana/wallet-adapter-react'; import bs58 from 'bs58'; import React, { FC, useCallback } from 'react'; import { sign } from 'tweetnacl';  export const SignMessageButton: FC = () =&gt; {     const { publicKey, signMessage } = useWallet();      const onClick = useCallback(async () =&gt; {         try {             // `publicKey` will be null if the wallet isn't connected             if (!publicKey) throw new Error('Wallet not connected!');             // `signMessage` will be undefined if the wallet doesn't support it             if (!signMessage) throw new Error('Wallet does not support message signing!');              // Encode anything as bytes             const message = new TextEncoder().encode(&quot;hello&quot;);             // Sign the bytes using the wallet             const signature = await signMessage(message);             // Verify that the bytes were signed using the private key that matches the known public key             if (!sign.detached.verify(message, signature, publicKey.toBytes())) throw new Error('Invalid signature!');              alert(`Message signature: ${bs58.encode(signature)}`);         } catch (error: any) {             alert(`Signing failed: ${error?.message}`);         }     }, [publicKey, signMessage]);      return signMessage ? (&lt;button onClick={onClick} disabled={!publicKey}&gt;Sign Message&lt;/button&gt;) : null; };  </code></pre> <ul> <li>Pubkey used: <code>DKpHyR1WjWE23E3xizPUhefZKmpMrMXNBVfoxQ7WXCRR</code></li> <li>Message signed: <code>hello</code></li> <li>Signature received: <code>3EWDdtU1w8pWkr6fg8faJvKn1wBZmNjgf5kUx4Pn5gw4HeBPYVDm7cTHNqpRVMami6yX36jdaeZacv9GXR19Jzye</code></li> </ul> <p>But I am not being able to verify the signed message using Python 3.9 with <a href=""https://pypi.org/project/PyNaCl/"" rel=""nofollow noreferrer"">PyNaCl</a> and <a href=""https://michaelhly.github.io/solana-py/"" rel=""nofollow noreferrer"">Solana-py</a>. I have tried the following:</p> <pre><code>from nacl.signing import VerifyKey from solana.publickey import PublicKey import base58  pubkey = bytes(PublicKey(&quot;DKpHyR1WjWE23E3xizPUhefZKmpMrMXNBVfoxQ7WXCRR&quot;)) msg = bytes(&quot;hello&quot;, 'utf8') signed = bytes(&quot;3EWDdtU1w8pWkr6fg8faJvKn1wBZmNjgf5kUx4Pn5gw4HeBPYVDm7cTHNqpRVMami6yX36jdaeZacv9GXR19Jzye&quot;, 'utf8')  result = VerifyKey(     pubkey ).verify(     smessage=base58.b58decode(msg),     signature=base58.b58decode(signed) )  </code></pre> <p>But verification returns: <code>nacl.exceptions.BadSignatureError: Signature was forged or corrupt.</code></p> <p>Somebody knows what is wrong? Could it be an encoding problem? Seems like JS uses the following byte types:</p> <pre><code>pubkey:  Uint8Array(32) [144, 188, 240, 167, 187, 75, 30, 17, 232, 175, 91, 222, 73, 68, 183, 218, 108, 56, 249, 64, 250, 61, 111, 168, 194, 233, 159, 2, 247, 5, 175, 124, buffer: ArrayBuffer(32), byteLength: 32, byteOffset: 0, length: 32] message: Uint8Array(44) [57, 85, 65, 81, 76, 53, 81, 68, 67, 89, 122, 70, 112, 107, 119, 70, 88, 52, 88, 75, 53, 70, 119, 107, 66, 54, 67, 57, 116, 57, 116, 120, 65, 89, 52, 102, 102, 122, 69, 52, 114, 97, 113, 84, buffer: ArrayBuffer(44), byteLength: 44, byteOffset: 0, length: 44] signed:  Uint8Array(64) [111, 173, 219, 10, 169, 113, 163, 35, 30, 162, 250, 243, 191, 106, 195, 99, 238, 34, 49, 192, 19, 92, 111, 142, 57, 31, 158, 235, 65, 219, 146, 176, 174, 48, 30, 255, 160, 90, 174, 179, 219, 197, 252, 189, 150, 225, 160, 133, 163, 109, 159, 80, 56, 191, 11, 1, 91, 111, 196, 214, 231, 84, 11, 1, buffer: ArrayBuffer(64), byteLength: 64, byteOffset: 0, length: 64] </code></pre> <p>And in python:</p> <pre><code>pubkey: b'\xb7\x1e+\xef\xe19#y}\xa4L\xf2K\rK\xc3\xbby\x93\x1c\x00L\xe1&lt;\x19g`-\x9d\xd5\xee\x94' msg:    b'Cn8eVZg' signed: b'3EWDdtU1w8pWkr6fg8faJvKn1wBZmNjgf5kUx4Pn5gw4HeBPYVDm7cTHNqpRVMami6yX36jdaeZacv9GXR19Jzye' </code></pre> <p>Do I need to use some different encoding on Python?</p>"	2022-01-05 14:08:39.353 UTC	70612251	"<p>Thanks for providing a concrete example on this, you're very close!  The encoding is absolutely the issue here -- the pubkey is correctly encoded in Python as bytes.  That first byte of <code>\x90</code>, encoded as two hex values, is <code>144</code> in JS, and you can check that in Python with: <code>int('90', 16) = 144</code>.</p> <p>So to verify your key, you can instead use the <code>base58</code> package <a href=""https://github.com/keis/base58"" rel=""nofollow noreferrer"">https://github.com/keis/base58</a> and do:</p> <pre><code>from nacl.signing import VerifyKey from solana.publickey import PublicKey import base58  pubkey = bytes(PublicKey(&quot;DKpHyR1WjWE23E3xizPUhefZKmpMrMXNBVfoxQ7WXCRR&quot;)) msg = bytes(&quot;hello&quot;, 'utf8') signed = bytes(&quot;3EWDdtU1w8pWkr6fg8faJvKn1wBZmNjgf5kUx4Pn5gw4HeBPYVDm7cTHNqpRVMami6yX36jdaeZacv9GXR19Jzye&quot;, 'utf8')  result = VerifyKey(     pubkey ).verify(     smessage=msg,       signature=base58.b58decode(signed) ) </code></pre> <p>Note.- on <strong>smessage</strong> you don't need to use b58, because it was encoded with <code>new TextEncoder().encode(&quot;hello&quot;)</code>.</p> <p>Second option: if you already have the UInt8Array from JS, you can do:</p> <pre><code>result = VerifyKey(bytes(PublicKey(&quot;HERE_THE_PUB_KEY&quot;))   ).verify(     smessage=bytes([byte1, byte2, byte3, ...])     signature=bytes([byte1, byte2, byte3, ...]) ) </code></pre>"			2022-01-06 18:57:19.36 UTC
70618151	python	Javascript like Math.random() in python (17 decimal point precision)	"<p>Python <code>ramdon.random()</code> gives random number with 15 precision point. Is there a way to get 17 point just like javasctip <code>Math.random()</code>.</p> <p>I tried this and it works. Any other way?</p> <pre><code>import random print(format(random.random(), '.17g')) </code></pre> <p>P.S.: I am not from Math background (I'm from biology).</p> <p>My actual need to mimic JavaScript random as one of the website uses that to dynamically create some validation which I want to do with python to scrape that site.</p>"	2022-01-07 07:55:08.393 UTC	70618353	<p>You can print your random float with 17 digits after the decimal point like this:</p> <pre><code>import random print(f'{random.random():.17f}') </code></pre> <p>The internal precision of a Python float is accurate enough for many if not most needs. If you need greater precision you should consider looking into the <em>decimal</em> module</p>			2022-01-07 08:13:33.907 UTC
70618151	python	Javascript like Math.random() in python (17 decimal point precision)	"<p>Python <code>ramdon.random()</code> gives random number with 15 precision point. Is there a way to get 17 point just like javasctip <code>Math.random()</code>.</p> <p>I tried this and it works. Any other way?</p> <pre><code>import random print(format(random.random(), '.17g')) </code></pre> <p>P.S.: I am not from Math background (I'm from biology).</p> <p>My actual need to mimic JavaScript random as one of the website uses that to dynamically create some validation which I want to do with python to scrape that site.</p>"	2022-01-07 07:55:08.393 UTC	70618357	"<p>Both <code>Math.random()</code> and <code>random.random()</code> return IEEE 754 doubles.</p> <p>The difference you're seeing is because of the way they're converted to strings. Their length is not constant, see this code for example:</p> <pre class=""lang-js prettyprint-override""><code>for (let i = 0; i &lt; 10000000; i++) {   const s = Math.random().toString()   if (!counter[s.length]) {     counter[s.length] = 1   } else {     counter[s.length]++   } } </code></pre> <pre><code>{   &quot;12&quot;: 5,   &quot;13&quot;: 47,   &quot;14&quot;: 700,   &quot;15&quot;: 6722,   &quot;16&quot;: 66634,   &quot;17&quot;: 665327,   &quot;18&quot;: 6112214,   &quot;19&quot;: 2813254,   &quot;20&quot;: 302418,   &quot;21&quot;: 29547,   &quot;22&quot;: 2824,   &quot;23&quot;: 281,   &quot;24&quot;: 27 } </code></pre> <p>And for Python:</p> <pre class=""lang-py prettyprint-override""><code>&gt;&gt;&gt; Counter(len(str(random.random())) for _ in range(10000000)) Counter({  11: 1,  12: 8,  13: 66,  14: 676,  15: 6678,  16: 66628,  17: 665271,  18: 6109863,  19: 2815051,  20: 302708,  21: 30569,  22: 2481 }) </code></pre>"			2022-01-07 08:14:23.933 UTC
70627905	python	Python equivalent of JavaScript FindIndex?	"<p>I am trying to create a search function in Python that does the same as my JavaScript function. It should just check if the id of one array of objects exists in the other array of objects, if it does not exist I need to add that product to DB. However I can't seem to figure it out in Python (still learning), this is the JS version (works fine)</p> <pre><code>for (let i = 0, length = NewProducts.length; i &lt; length; ++i) {   if (Products.findIndex((o) =&gt; o.id === NewProducts[i].id) == -1){     --- add NewProducts[i] to DB --   } } </code></pre> <p>and this is what I have for the Python equivalent:</p> <pre><code>i = 0 while i &lt; len(NewProducts):     exists = [x for x['id'] in Products if x.attr == NewProducts][i]['id']     if exists:          do nothing with NewProducts[i]     else:         add NewProducts[i] to DB </code></pre>"	2022-01-07 22:35:07.043 UTC	70628009	"<p>Python has short-hand that you can use in this case:</p> <pre><code>new_products = [1, 2, 3, 6] existing_products = [1, 3, 4, 5]  for to_add_to_db in set(new_products) - set(existing_products):     function_to_add_to_db(to_add_to_db) </code></pre> <p>Essentially what this does is to create two sets and the subtraction means that only those from set <code>new_products</code> remain in the iterator that are not in <code>existing_products</code>. Mathematically speaking this is the left difference.</p>"			2022-01-07 22:47:09.217 UTC
70627905	python	Python equivalent of JavaScript FindIndex?	"<p>I am trying to create a search function in Python that does the same as my JavaScript function. It should just check if the id of one array of objects exists in the other array of objects, if it does not exist I need to add that product to DB. However I can't seem to figure it out in Python (still learning), this is the JS version (works fine)</p> <pre><code>for (let i = 0, length = NewProducts.length; i &lt; length; ++i) {   if (Products.findIndex((o) =&gt; o.id === NewProducts[i].id) == -1){     --- add NewProducts[i] to DB --   } } </code></pre> <p>and this is what I have for the Python equivalent:</p> <pre><code>i = 0 while i &lt; len(NewProducts):     exists = [x for x['id'] in Products if x.attr == NewProducts][i]['id']     if exists:          do nothing with NewProducts[i]     else:         add NewProducts[i] to DB </code></pre>"	2022-01-07 22:35:07.043 UTC	70628023	"<p>I don't think that you need <code>index</code> function here.</p> <pre class=""lang-py prettyprint-override""><code>for product in NewProducts:   if product in Products:     do nothing with NewProducts[i]   else:     add NewProducts[i] to DB </code></pre>"			2022-01-07 22:49:29.983 UTC
70627905	python	Python equivalent of JavaScript FindIndex?	"<p>I am trying to create a search function in Python that does the same as my JavaScript function. It should just check if the id of one array of objects exists in the other array of objects, if it does not exist I need to add that product to DB. However I can't seem to figure it out in Python (still learning), this is the JS version (works fine)</p> <pre><code>for (let i = 0, length = NewProducts.length; i &lt; length; ++i) {   if (Products.findIndex((o) =&gt; o.id === NewProducts[i].id) == -1){     --- add NewProducts[i] to DB --   } } </code></pre> <p>and this is what I have for the Python equivalent:</p> <pre><code>i = 0 while i &lt; len(NewProducts):     exists = [x for x['id'] in Products if x.attr == NewProducts][i]['id']     if exists:          do nothing with NewProducts[i]     else:         add NewProducts[i] to DB </code></pre>"	2022-01-07 22:35:07.043 UTC	70627997	"<p>In JavaScript, although <code>.findIndex</code> works for your purpose, you would actually use <code>.some</code> for this -- it doesn't require a comparison with -1 and just returns a boolean.</p> <p>In JavaScript this would be better written as:</p> <pre class=""lang-js prettyprint-override""><code>for (let product of NewProducts) {     if (!Products.some((o) =&gt; o.id === product.id)) {         // add product to DB     } } </code></pre> <p>In Python this would be:</p> <pre class=""lang-py prettyprint-override""><code>for product in NewProducts:     if not any(x['id'] == product['id'] for x in Products):         # add product to DB </code></pre>"			2022-01-07 22:46:12.017 UTC
70644965	python|beautifulsoup	Scraping JavaScript var from website using Beautiful Soup in Python	"<p>I'm scraping a website's HTML after a &quot;GET&quot; request. There is product1218181 parameter on the site I want to extract data from, so there is product{1218181}. I'm using Beautiful soup since it's what I usually use but I can't seem to figure out how to get a javascript variable from the html. HTML like so:</p> <pre><code>&lt;script&gt;var product1218181 = {&quot;name&quot;:&quot;XIAOMI Poco X3 Pro 256 GB Akıllı Telefon Bronz&quot;,&quot;id&quot;:&quot;1218181&quot;,&quot;price&quot;:&quot;5799.00&quot;,&quot;brand&quot;:&quot;XIAOMI&quot;,&quot;ean&quot;:&quot;6934177738371&quot;,&quot;dimension25&quot;:&quot;InStock&quot;,&quot;dimension26&quot;:11.90,&quot;dimension24&quot;:18.00,&quot;category&quot;:&quot;Telefon&quot;,&quot;dimension9&quot;:&quot;Cep Telefonları&quot;,&quot;dimension10&quot;:&quot;Android Telefonlar&quot;};&lt;/script&gt; </code></pre> <p>I would like to scrape like this:</p> <pre><code>name: XIAOMI Poco X3 Pro 256 GB Akıllı Telefon id: 1218181 price: 5799.00 brand: XIAOMI </code></pre> <p>Update</p> <p>Full code like this, I would like to scrape this website products infos</p> <pre><code>import requests import re, json from bs4 import BeautifulSoup  URL = &quot;https://www.mediamarkt.com.tr/tr/category/_cep-telefonlar%C4%B1-504171.html&quot; page = requests.get(URL)  soup = BeautifulSoup(page.content, &quot;html.parser&quot;)  results = soup.find(id=&quot;category&quot;)  test = '&lt;script&gt;var product1218181 = {&quot;name&quot;:&quot;XIAOMI Poco X3 Pro 256 GB Akıllı Telefon Bronz&quot;,&quot;id&quot;:&quot;1218181&quot;,&quot;price&quot;:&quot;5799.00&quot;,&quot;brand&quot;:&quot;XIAOMI&quot;,&quot;ean&quot;:&quot;6934177738371&quot;,&quot;dimension25&quot;:&quot;InStock&quot;,&quot;dimension26&quot;:11.90,&quot;dimension24&quot;:18.00,&quot;category&quot;:&quot;Telefon&quot;,&quot;dimension9&quot;:&quot;Cep Telefonları&quot;,&quot;dimension10&quot;:&quot;Android Telefonlar&quot;};&lt;/script&gt;'  pattern = re.compile('.*?var product1218181 = (.*?);.*?') match = pattern.match(test) if match is not None:     data = json.loads(match.groups()[0])     for key, value in data.items():         print(key, &quot;:&quot;, value) </code></pre>"	2022-01-09 19:54:09.837 UTC	70645147	"<p>I wrote this script to parse the JSON inside that script tag. I used <code>json</code> library along with BeautifulSoup.</p> <p>First I looped through all scripts in the websites (in case there are multiple scripts and we don't have an <code>id</code> or <code>class</code> for each script) and selected the script that we need, the one that contains &quot;name&quot; (You can make it more accurate).</p> <p>Then with simple string modifications I was able to extract the dictionary / json data.</p> <pre><code>from bs4 import BeautifulSoup import json html = '''&lt;script&gt;var product1218181 = {&quot;name&quot;:&quot;XIAOMI Poco X3 Pro 256 GB Akıllı Telefon Bronz&quot;,&quot;id&quot;:&quot;1218181&quot;,&quot;price&quot;:&quot;5799.00&quot;,&quot;brand&quot;:&quot;XIAOMI&quot;,&quot;ean&quot;:&quot;6934177738371&quot;,&quot;dimension25&quot;:&quot;InStock&quot;,&quot;dimension26&quot;:11.90,&quot;dimension24&quot;:18.00,&quot;category&quot;:&quot;Telefon&quot;,&quot;dimension9&quot;:&quot;Cep Telefonları&quot;,&quot;dimension10&quot;:&quot;Android Telefonlar&quot;};&lt;/script&gt;'''  soup = BeautifulSoup(html, 'html.parser') for item in soup.find_all('script'):     if '= {&quot;name&quot;:' in item.text:         dictionary = item.text.split(' = ', 1)[-1][:-1]         jsonResponse = json.loads(dictionary)         print(jsonResponse) </code></pre>"			2022-01-09 20:16:51.98 UTC
70644965	python|beautifulsoup	Scraping JavaScript var from website using Beautiful Soup in Python	"<p>I'm scraping a website's HTML after a &quot;GET&quot; request. There is product1218181 parameter on the site I want to extract data from, so there is product{1218181}. I'm using Beautiful soup since it's what I usually use but I can't seem to figure out how to get a javascript variable from the html. HTML like so:</p> <pre><code>&lt;script&gt;var product1218181 = {&quot;name&quot;:&quot;XIAOMI Poco X3 Pro 256 GB Akıllı Telefon Bronz&quot;,&quot;id&quot;:&quot;1218181&quot;,&quot;price&quot;:&quot;5799.00&quot;,&quot;brand&quot;:&quot;XIAOMI&quot;,&quot;ean&quot;:&quot;6934177738371&quot;,&quot;dimension25&quot;:&quot;InStock&quot;,&quot;dimension26&quot;:11.90,&quot;dimension24&quot;:18.00,&quot;category&quot;:&quot;Telefon&quot;,&quot;dimension9&quot;:&quot;Cep Telefonları&quot;,&quot;dimension10&quot;:&quot;Android Telefonlar&quot;};&lt;/script&gt; </code></pre> <p>I would like to scrape like this:</p> <pre><code>name: XIAOMI Poco X3 Pro 256 GB Akıllı Telefon id: 1218181 price: 5799.00 brand: XIAOMI </code></pre> <p>Update</p> <p>Full code like this, I would like to scrape this website products infos</p> <pre><code>import requests import re, json from bs4 import BeautifulSoup  URL = &quot;https://www.mediamarkt.com.tr/tr/category/_cep-telefonlar%C4%B1-504171.html&quot; page = requests.get(URL)  soup = BeautifulSoup(page.content, &quot;html.parser&quot;)  results = soup.find(id=&quot;category&quot;)  test = '&lt;script&gt;var product1218181 = {&quot;name&quot;:&quot;XIAOMI Poco X3 Pro 256 GB Akıllı Telefon Bronz&quot;,&quot;id&quot;:&quot;1218181&quot;,&quot;price&quot;:&quot;5799.00&quot;,&quot;brand&quot;:&quot;XIAOMI&quot;,&quot;ean&quot;:&quot;6934177738371&quot;,&quot;dimension25&quot;:&quot;InStock&quot;,&quot;dimension26&quot;:11.90,&quot;dimension24&quot;:18.00,&quot;category&quot;:&quot;Telefon&quot;,&quot;dimension9&quot;:&quot;Cep Telefonları&quot;,&quot;dimension10&quot;:&quot;Android Telefonlar&quot;};&lt;/script&gt;'  pattern = re.compile('.*?var product1218181 = (.*?);.*?') match = pattern.match(test) if match is not None:     data = json.loads(match.groups()[0])     for key, value in data.items():         print(key, &quot;:&quot;, value) </code></pre>"	2022-01-09 19:54:09.837 UTC	70645486	"<p>Try this:</p> <pre><code>import requests import re, json from bs4 import BeautifulSoup  URL = &quot;https://www.mediamarkt.com.tr/tr/category/_cep-telefonlar%C4%B1-504171.html&quot;  page = requests.get(URL)  soup = BeautifulSoup(page.content, &quot;html.parser&quot;)  results = soup.find(id=&quot;category&quot;).find(&quot;script&quot;).text  data = json.loads(re.findall(&quot;(?:{).*(?:})&quot;, results)[0])  print(data)  </code></pre>"			2022-01-09 21:02:12.967 UTC
